postcode,name,latitude,longitude
3000,Melbourne,-37.81,144.97
3001,Melbourne,-38.37,144.77
3002,EastMelbourne,-37.82,144.99
3003,WestMelbourne,-37.81,144.94
3004,Melbourne,-37.84,144.98
3004,StKildaRoadCentral,-37.84,144.98
3005,WorldTradeCentre,-37.82,144.95
3006,SouthWharf,-37.82,144.97
3006,Southbank,-37.82,144.97
3008,Docklands,-37.81,144.95
3010,UniversityOfMelbourne,-37.8,144.96
3011,Footscray,-37.8,144.9
3011,Seddon,-37.8,144.9
3011,SeddonWest,-37.8,144.9
3012,Brooklyn,-37.81,144.85
3012,Kingsville,-37.81,144.85
3012,KingsvilleWest,-37.81,144.85
3012,Maidstone,-37.81,144.85
3012,Tottenham,-37.81,144.85
3012,WestFootscray,-37.81,144.85
3013,Yarraville,-37.82,144.89
3013,YarravilleWest,-37.82,144.89
3015,Newport,-37.84,144.88
3015,SouthKingsville,-37.84,144.88
3015,Spotswood,-37.84,144.88
3016,Williamstown,-37.86,144.9
3016,WilliamstownNorth,-37.86,144.9
3018,Altona,-37.87,144.83
3018,Seaholme,-37.87,144.83
3019,Braybrook,-37.78,144.86
3019,BraybrookNorth,-37.78,144.86
3019,Robinson,-37.78,144.86
3020,Albion,-37.78,144.82
3020,Glengala,-37.78,144.82
3020,Sunshine,-37.78,144.82
3020,SunshineNorth,-37.78,144.82
3020,SunshineWest,-37.78,144.82
3021,Albanvale,-37.75,144.77
3021,Kealba,-37.75,144.77
3021,KingsPark,-37.75,144.77
3021,StAlbans,-37.75,144.77
3022,Ardeer,-37.78,144.8
3022,DeerParkEast,-37.78,144.8
3023,Burnside,-37.75,144.75
3023,BurnsideHeights,-37.75,144.75
3023,Cairnlea,-37.75,144.75
3023,CarolineSprings,-37.75,144.75
3023,DeerPark,-37.75,144.75
3023,DeerParkNorth,-37.75,144.75
3023,Ravenhall,-37.75,144.75
3024,Mambourin,-37.9,144.56
3024,MountCottrell,-37.9,144.56
3024,WyndhamVale,-37.9,144.56
3025,AltonaEast,-37.84,144.86
3025,AltonaGate,-37.84,144.86
3025,AltonaNorth,-37.84,144.86
3026,LavertonNorth,-37.84,144.8
3027,WilliamsLanding,-37.86,144.76
3028,AltonaMeadows,-37.87,144.78
3028,Laverton,-37.87,144.78
3028,Seabrook,-37.87,144.78
3029,HoppersCrossing,-37.88,144.7
3029,Tarneit,-37.88,144.7
3029,Truganina,-37.88,144.7
3030,Cocoroc,-37.97,144.58
3030,Derrimut,-37.97,144.58
3030,PointCook,-37.97,144.58
3030,Quandong,-37.97,144.58
3030,Werribee,-37.97,144.58
3030,WerribeeSouth,-37.97,144.58
3031,Flemington,-37.79,144.93
3031,Kensington,-37.79,144.93
3032,AscotVale,-37.78,144.92
3032,HighpointCity,-37.78,144.92
3032,Maribyrnong,-37.78,144.92
3032,Travancore,-37.78,144.92
3033,KeilorEast,-37.74,144.8
3034,AvondaleHeights,-37.74,144.82
3036,Keilor,-37.72,144.83
3036,KeilorNorth,-37.72,144.83
3037,CalderPark,-37.72,144.78
3037,Delahey,-37.72,144.78
3037,Hillside,-37.72,144.78
3037,Sydenham,-37.72,144.78
3037,TaylorsHill,-37.72,144.78
3038,KeilorDowns,-37.73,144.81
3038,KeilorLodge,-37.73,144.81
3038,TaylorsLakes,-37.73,144.81
3038,Watergardens,-37.73,144.81
3039,MooneePonds,-37.77,144.92
3040,Aberfeldie,-37.76,144.9
3040,Essendon,-37.76,144.9
3040,EssendonWest,-37.76,144.9
3041,EssendonFields,-37.74,144.91
3041,EssendonNorth,-37.74,144.91
3041,Strathmore,-37.74,144.91
3041,StrathmoreHeights,-37.74,144.91
3042,AirportWest,-37.71,144.89
3042,KeilorPark,-37.71,144.89
3042,Niddrie,-37.71,144.89
3043,GladstonePark,-37.69,144.88
3043,Gowanbrae,-37.69,144.88
3043,Tullamarine,-37.69,144.88
3044,PascoeVale,-37.73,144.94
3044,PascoeValeSouth,-37.73,144.94
3045,MelbourneAirport,-37.67,144.83
3046,Glenroy,-37.7,144.92
3046,Hadfield,-37.7,144.92
3046,OakPark,-37.7,144.92
3047,Broadmeadows,-37.68,144.92
3047,Dallas,-37.68,144.92
3047,Jacana,-37.68,144.92
3048,Coolaroo,-37.65,144.93
3048,MeadowHeights,-37.65,144.93
3049,Attwood,-37.67,144.89
3049,Westmeadows,-37.67,144.89
3050,RoyalMelbourneHospital,-37.8,144.96
3051,HothamHill,-37.91,145.06
3051,NorthMelbourne,-37.91,145.06
3052,MelbourneUniversity,-37.8,144.96
3052,Parkville,-37.8,144.96
3053,Carlton,-37.78,144.97
3053,CarltonSouth,-37.78,144.97
3054,CarltonNorth,-37.78,144.97
3054,PrincesHill,-37.78,144.97
3055,BrunswickSouth,-37.77,144.94
3055,BrunswickWest,-37.77,144.94
3055,MooneeVale,-37.77,144.94
3055,MorelandWest,-37.77,144.94
3056,Brunswick,-37.76,144.94
3056,BrunswickLower,-37.76,144.94
3056,BrunswickNorth,-37.76,144.94
3057,BrunswickEast,-37.76,144.98
3057,LygonStreetNorth,-37.76,144.98
3057,Sumner,-37.76,144.98
3058,Batman,-37.73,144.96
